"fat_thickness [mm]","Freq [MHz]","VSWR(1) []"
5,445.38875,3.76362978539039
5,446.885,3.72003339390124
5,448.38125,3.67682633861715
5,449.8775,3.63400768355645
5,451.37375,3.59157646113882
5,452.87,3.54953167374493
5,454.36625,3.50787229527659
5,455.8625,3.46659727271587
5,457.35875,3.42570552768308
5,458.855,3.38519595799351
5,460.35125,3.34506743921328
5,461.8475,3.30531882621549
5,463.34375,3.26594895473781
5,464.84,3.22695664294349
5,466.33625,3.18834069298774
5,467.8325,3.15009989259248
5,469.32875,3.11223301663203
5,470.825,3.07473882873355
5,472.32125,3.03761608289589
5,473.8175,3.00086352513121
5,475.31375,2.96447989513415
5,476.81,2.9284639279838
5,478.30625,2.89281435588423
5,479.8025,2.8575299099499
5,481.29875,2.82260932204286
5,482.795,2.78805132666939
5,484.29125,2.75385466294419
5,485.7875,2.72001807663135
5,487.28375,2.68654032227179
5,488.78,2.65342016540818
5,490.27625,2.62065638491897
5,491.7725,2.58824777547469
5,493.26875,2.55619315013067
5,494.765,2.52449134307176
5,496.26125,2.49314121252628
5,497.7575,2.4621416438682
5,499.25375,2.43149155292818
5,500.75,2.40118988953674
5,502.24625,2.37123564132464
5,503.7425,2.34162783780895
5,505.23875,2.31236555479559
5,506.735,2.28344791913302
5,508.23125,2.25487411385543
5,509.7275,2.22664338375768
5,511.22375,2.19875504144971
5,512.72,2.17120847394275
5,514.21625,2.14400314982624
5,515.7125,2.11713862710073
5,517.20875,2.09061456174002
5,518.705,2.06443071706388
5,520.20125,2.03858697401265
5,521.6975,2.01308334242542
5,523.19375,1.98791997343581
5,524.69,1.96309717311265
5,526.18625,1.93861541748774
5,527.6825,1.91447536913002
5,529.17875,1.89067789544363
5,530.675,1.86722408888814
5,532.17125,1.8441152893419
5,533.6675,1.82135310885402
5,535.16375,1.79893945905767
5,536.66,1.776876581546
5,538.15625,1.75516708154254
5,539.6525,1.7338139652299
5,541.14875,1.71282068113221
5,542.645,1.69219116597811
5,544.14125,1.67192989549908
5,545.6375,1.65204194064059
5,547.13375,1.63253302967653
5,548.63,1.61340961671599
5,550.12625,1.59467895706791
5,551.6225,1.57634918987412
5,553.11875,1.55842942832246
5,554.615,1.54092985759157
5,556.11125,1.523861840438
5,557.6075,1.50723802998687
5,559.10375,1.49107248879816
5,560.6,1.47538081261439
5,562.09625,1.46018025630881
5,563.5925,1.44548985840307
5,565.08875,1.43133055906844
5,566.585,1.41772530473701
5,568.08125,1.40469913032829
5,569.5775,1.39227920768972
5,571.07375,1.38049484628007
5,572.57,1.36937742962668
5,574.06625,1.35896026903901
5,575.5625,1.34927835500963
5,577.05875,1.34036798739507
5,578.555,1.33226626867278
5,580.05125,1.32501045113045
5,581.5475,1.31863713933313
5,583.04375,1.31318136365221
5,584.54,1.30867555816362
5,586.03625,1.30514849483862
5,587.5325,1.30262424256637
5,589.02875,1.30112123039783
5,590.525,1.30065149591956
5,592.02125,1.30122018962244
5,593.5175,1.30282538463223
5,595.01375,1.30545821107959
5,596.51,1.30910330083879
5,598.00625,1.31373949744027
5,599.5025,1.31934076301314
5,600.99875,1.32587720235862
5,602.495,1.33331612417449
5,603.99125,1.34162306908943
5,605.4875,1.35076275008743
5,606.98375,1.36069986932698
5,608.48,1.37139979308037
5,609.97625,1.38282908139246
5,611.4725,1.39495588007841
5,612.96875,1.40775018975878
5,614.465,1.42118403027785
5,615.96125,1.43523151985327
5,617.4575,1.44986888749198
5,618.95375,1.4650744353079
5,620.45,1.48082846495822
5,621.94625,1.49711317987614
5,623.4425,1.51391257256856
5,624.93875,1.53121230410519
5,626.435,1.54899958110711
5,627.93125,1.56726303405369
5,629.4275,1.58599259954292
5,630.92375,1.60517940822299
5,632.42,1.62481567941854
5,633.91625,1.64489462296276
5,635.4125,1.66541034837686
5,636.90875,1.68635778128055
5,638.405,1.70773258674327
5,639.90125,1.72953109917509
5,641.3975,1.75175025829107
5,642.89375,1.77438755065108
5,644.39,1.7974409562677
5,645.88625,1.82090889978123
5,647.3825,1.84479020571736
5,648.87875,1.8690840573648
5,650.375,1.89378995883617
5,651.87125,1.91890769990105
5,653.3675,1.94443732320664
5,654.86375,1.97037909352609
5,656.36,1.99673346869705
5,657.85625,2.02350107193439
5,659.3525,2.05068266521887
5,660.84875,2.07827912348013
5,662.345,2.10629140930577
