"fat_thickness [mm]","Freq [MHz]","re(Z(1,1)) []","im(Z(1,1)) []"
5,672.81875,43.7661541594461,39.9267102639742
5,674.315,43.478467890797,40.439834296665
5,675.81125,43.1931988138446,40.9503264646537
5,677.3075,42.9103686295669,41.4582104569035
5,678.80375,42.6300008994525,41.9635088040434
5,680.3,42.3521211131779,42.4662427146574
5,681.79625,42.0767567510766,42.9664318942115
5,683.2925,41.8039373395838,43.4640943454048
5,684.78875,41.5336944975331,43.9592461487549
5,686.285,41.2660619708436,44.4519012223072
5,687.78125,41.0010756527677,44.9420710594626
5,689.2775,40.7387735864624,45.4297644440934
5,690.77375,40.4791959462182,45.9149871423506
5,692.27,40.222384993216,46.3977415708784
5,693.76625,39.9683850012076,46.8780264415611
5,695.2625,39.7172421470307,47.3558363834408
5,696.75875,39.469004360385,47.8311615430848
5,698.255,39.2237211268445,48.3039871654619
5,699.75125,38.9814432376713,48.77429315832
5,701.2475,38.7422224796662,49.2420536441602
5,702.74375,38.5061112580809,49.7072365051882
5,704.24,38.2731621455558,50.1698029280894
5,705.73625,38.0434273502093,50.6297069571255
5,707.2325,37.816958096425,51.0868950658713
5,708.72875,37.5938039126442,51.5413057598824
5,710.225,37.3740118216333,51.9928692246595
5,711.72125,37.1576254303321,52.4415070353937
5,713.2175,36.9446839185647,52.8871319470748
5,714.71375,36.7352209286814,53.329647785472
5,716.21,36.5292633616193,53.7689494611714
5,717.70625,36.326830088969,54.2049231300642
5,719.2025,36.1279305953774,54.6374465242682
5,720.69875,35.9325635709555,55.0663894772071
5,722.195,35.7407154791742,55.4916146652553
5,723.69125,35.5523591318366,55.9129785857594
5,725.1875,35.3674523088553,56.330332787178
5,726.68375,35.1859364664008,56.743525361383
5,728.18,35.0077355821201,57.1524027007656
5,729.67625,34.8327551900737,57.5568115136918
5,731.1725,34.6608816603028,57.9566010812193
5,732.66875,34.4919817780084,58.3516257260933
5,734.165,34.3259026747127,58.7417474523649
5,735.66125,34.1624721581238,59.1268387011264
5,737.1575,34.001499478489,59.5067851556137
5,738.65375,33.8427765569912,59.8814885181878
5,740.15,33.6860796864502,60.2508691733719
5,741.64625,33.53117169675,60.6148686461437
5,743.1425,33.3778045578265,60.9734517638308
5,744.63875,33.2257223727875,61.3266084338048
5,746.135,33.0746646940467,61.6743549580188
5,747.63125,32.9243700775907,62.0167348191693
5,749.1275,32.7745797760134,62.3538188913906
5,750.62375,32.6250414609065,62.6857050500229
5,752.12,32.475512860516,63.0125171788928
5,753.61625,32.32576519977,63.334403598205
5,755.1125,32.1755863369224,63.6515349600005
5,756.60875,32.0247835037411,63.9641016795875
5,758.105,31.8731855735434,64.2723109890457
5,759.60125,31.72064480225,64.5763837117645
5,761.0975,31.5670380105444,64.8765508643236
5,762.59375,31.4122671986552,65.1730501936863
5,764.09,31.2562596077304,65.4661227538567
5,765.58625,31.0989672619448,65.7560096174864
5,767.0825,30.9403660423434,66.0429488053524
5,768.57875,30.7804543562872,66.3271725012831
5,770.075,30.6192514749257,66.6089046031623
5,771.57125,30.4567956153681,66.888358643302
5,773.0675,30.2931418445098,67.1657360947142
5,774.56375,30.128359878294,67.4412250645359
5,776.06,29.9625318442673,67.714999362631
5,777.55625,29.7957500673396,67.9872179226213
5,779.0525,29.6281149294532,68.2580245444139
5,780.54875,29.4597328440701,68.5275479216979
5,782.045,29.2907143766007,68.7959019146489
5,783.54125,29.1211725325981,69.0631860269526
5,785.0375,28.9512212270618,69.3294860468885
5,786.53375,28.7809739407763,69.5948748141976
5,788.03,28.6105425633669,69.8594130774598
5,789.52625,28.4400364177116,70.1231504103701
5,791.0225,28.2695614564769,70.3861261593255
5,792.51875,28.0992196187444,70.6483703988927
5,794.015,27.9291083328482,70.9099048757985
5,795.51125,27.7593201505167,71.1707439259359
5,797.0075,27.5899424970471,71.4308953524303
5,798.50375,27.4210575224172,71.6903612559553
5,800,27.2527420388139,71.9491388112577
7.5,201.5,215.883743214752,-346.483056960056
7.5,202.99625,216.918823121629,-348.343336408699
