"fat_thickness [mm]","Freq [MHz]","dB(S(1,1)) []"
7.5,292.77125,-1.52987838886216
7.5,294.2675,-1.54243776562889
7.5,295.76375,-1.55523922201181
7.5,297.26,-1.56828811999111
7.5,298.75625,-1.58158895456259
7.5,300.2525,-1.5951453157335
7.5,301.74875,-1.60895987674112
7.5,303.245,-1.62303440835107
7.5,304.74125,-1.637369817826
7.5,306.2375,-1.65196621002725
7.5,307.73375,-1.66682296720413
7.5,309.23,-1.68193884338899
7.5,310.72625,-1.69731206897797
7.5,312.2225,-1.7129404610297
7.5,313.71875,-1.72882153503004
7.5,315.215,-1.74495261429879
7.5,316.71125,-1.7613309337971
7.5,318.2075,-1.77795373576725
7.5,319.70375,-1.79481835534175
7.5,321.2,-1.81192229494453
7.5,322.69625,-1.82926328693378
7.5,324.1925,-1.84683934447767
7.5,325.68875,-1.86464880109425
7.5,327.185,-1.88269033962195
7.5,328.68125,-1.90096301162069
7.5,330.1775,-1.91946624834512
7.5,331.67375,-1.93819986449448
7.5,333.17,-1.95716405594334
7.5,334.66625,-1.97635939260843
7.5,336.1625,-1.99578680752328
7.5,337.65875,-2.01544758308766
7.5,339.155,-2.03534333534098
7.5,340.65125,-2.05547599698914
7.5,342.1475,-2.07584779979559
7.5,343.64375,-2.09646125683699
7.5,345.14,-2.117319145022
7.5,346.63625,-2.13842448818186
7.5,348.1325,-2.15978054096312
7.5,349.62875,-2.18139077368602
7.5,351.125,-2.20325885827662
7.5,352.62125,-2.22538865533528
7.5,354.1175,-2.24778420236773
7.5,355.61375,-2.27044970317656
7.5,357.11,-2.29338951838935
7.5,358.60625,-2.31660815708385
7.5,360.1025,-2.34011026945928
7.5,361.59875,-2.36390064049566
7.5,363.095,-2.38798418453882
7.5,364.59125,-2.4123659407469
7.5,366.0875,-2.43705106933425
7.5,367.58375,-2.46204484854987
7.5,369.08,-2.48735267233038
7.5,370.57625,-2.51298004856999
7.5,372.0725,-2.53893259795431
7.5,373.56875,-2.5652160533079
7.5,375.065,-2.59183625940998
7.5,376.56125,-2.61879917323636
7.5,378.0575,-2.64611086458952
7.5,379.55375,-2.67377751708276
7.5,381.05,-2.70180542944729
7.5,382.54625,-2.73020101713522
7.5,384.0425,-2.75897081419375
7.5,385.53875,-2.78812147538931
7.5,387.035,-2.81765977856268
7.5,388.53125,-2.84759262719875
7.5,390.0275,-2.87792705319679
7.5,391.52375,-2.90867021982896
7.5,393.02,-2.93982942487689
7.5,394.51625,-2.97141210393763
7.5,396.0125,-3.00342583389192
7.5,397.50875,-3.03587833652901
7.5,399.005,-3.06877748232371
7.5,400.50125,-3.10213129436208
7.5,401.9975,-3.13594795241389
7.5,403.49375,-3.17023579715007
7.5,404.99,-3.20500333450503
7.5,406.48625,-3.24025924018402
7.5,407.9825,-3.27601236431661
7.5,409.47875,-3.31227173625798
7.5,410.975,-3.34904656954056
7.5,412.47125,-3.38634626697867
7.5,413.9675,-3.42418042592999
7.5,415.46375,-3.46255884371766
7.5,416.96,-3.50149152321756
7.5,418.45625,-3.54098867861599
7.5,419.9525,-3.5810607413429
7.5,421.44875,-3.62171836618688
7.5,422.945,-3.66297243759812
7.5,424.44125,-3.70483407618623
7.5,425.9375,-3.74731464542018
7.5,427.43375,-3.79042575853801
7.5,428.93,-3.83417928567447
7.5,430.42625,-3.87858736121518
7.5,431.9225,-3.92366239138637
7.5,433.41875,-3.96941706208959
7.5,434.915,-4.0158643469915
7.5,436.41125,-4.06301751587904
7.5,437.9075,-4.11089014329109
7.5,439.40375,-4.1594961174378
7.5,440.9,-4.20884964941986
7.5,442.39625,-4.2589652827599
7.5,443.8925,-4.30985790325932
7.5,445.38875,-4.36154274919386
7.5,446.885,-4.41403542186236
7.5,448.38125,-4.46735189650324
7.5,449.8775,-4.52150853359409
7.5,451.37375,-4.57652209055045
7.5,452.87,-4.63240973384011
7.5,454.36625,-4.6891890515303
7.5,455.8625,-4.7468780662855
7.5,457.35875,-4.80549524883423
7.5,458.855,-4.86505953192395
7.5,460.35125,-4.92559032478367
7.5,461.8475,-4.98710752811429
7.5,463.34375,-5.0496315496278
7.5,464.84,-5.11318332015611
7.5,466.33625,-5.17778431035161
7.5,467.8325,-5.2434565480013
7.5,469.32875,-5.31022263597696
7.5,470.825,-5.37810577084391
7.5,472.32125,-5.44712976215095
7.5,473.8175,-5.51731905242405
7.5,475.31375,-5.58869873788592
